skill
python
java
sql
mysql
postgresql
mongodb
tensorflow
pytorch
keras
scikit learn
opencv
pandas
numpy
matplotlib
seaborn
power bi
tableau
excel
aws
azure
google cloud
docker
kubernetes
linux
git
github
streamlit
flask
fastapi
nlp
natural language processing
llm
generative ai
prompt engineering
